timestep,cur_kl,rate,mse,rmse,rmse_scaled
34,0.00000,0.00000,0.37674,0.61379,78.25853
33,0.00000,0.00000,0.37907,0.61568,78.49956
32,0.00000,0.00000,0.37956,0.61609,78.55119
31,0.00000,0.00000,0.38564,0.62100,79.17789
30,0.00000,0.00000,0.39026,0.62471,79.65042
29,0.00000,0.00000,0.38676,0.62190,79.29198
28,0.00000,0.00000,0.39539,0.62880,80.17213
27,0.00000,0.00000,0.39657,0.62974,80.29201
26,0.00000,0.00000,0.39898,0.63165,80.53555
25,0.00000,0.00000,0.39928,0.63188,80.56497
24,0.00000,0.00000,0.40681,0.63781,81.32117
23,0.00000,0.00000,0.40829,0.63898,81.46941
22,0.00000,0.00000,0.41042,0.64064,81.68155
21,0.00000,0.00000,0.41178,0.64170,81.81734
20,0.00000,0.00000,0.41316,0.64278,81.95428
19,0.00000,0.00000,0.41756,0.64619,82.38863
18,0.00000,0.00000,0.41900,0.64730,82.53058
17,0.00000,0.00000,0.42423,0.65133,83.04406
16,0.00000,0.00000,0.42689,0.65337,83.30481
15,0.00000,0.00000,0.42939,0.65528,83.54780
14,0.00000,0.00000,0.43433,0.65903,84.02691
13,0.00000,0.00000,0.43953,0.66297,84.52886
12,0.00000,0.00000,0.43402,0.65880,83.99731
11,0.00000,0.00000,0.44798,0.66932,85.33786
10,0.00000,0.00000,0.45071,0.67135,85.59663
9,0.00000,0.00000,0.44976,0.67064,85.50652
8,0.00000,0.00000,0.45713,0.67611,86.20406
7,0.00000,0.00000,0.45900,0.67750,86.38099
6,0.00000,0.00000,0.46258,0.68013,86.71644
5,0.00000,0.00000,0.46809,0.68417,87.23166
4,0.00000,0.00000,0.46856,0.68452,87.27598
3,0.00000,0.00000,0.47284,0.68764,87.67368
2,0.00000,0.00000,0.47173,0.68683,87.57059
1,0.00000,0.00000,0.48114,0.69364,88.43961
